Application_number,Datum,Popis
2014-944,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-116,21.12.2015,podání přihlášky
2015-116,21.12.2015,podání žádosti o úplný průzkum
2015-116,28.06.2017,zveřejnění PV
2015-116,18.04.2018,publikace udělení patentu
2015-116,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29699,21.12.2015,podání přihlášky
2014-29699,21.12.2015,podání žádosti o úplný průzkum
2014-29699,28.06.2017,zveřejnění PV
2014-29699,18.04.2018,publikace udělení patentu
2014-29699,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30434,21.12.2015,podání přihlášky
2014-30434,21.12.2015,podání žádosti o úplný průzkum
2014-30434,28.06.2017,zveřejnění PV
2014-30434,18.04.2018,publikace udělení patentu
2014-30434,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34093,21.12.2015,podání přihlášky
2017-34093,21.12.2015,podání žádosti o úplný průzkum
2017-34093,28.06.2017,zveřejnění PV
2017-34093,18.04.2018,publikace udělení patentu
2017-34093,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34205,21.12.2015,podání přihlášky
2017-34205,21.12.2015,podání žádosti o úplný průzkum
2017-34205,28.06.2017,zveřejnění PV
2017-34205,18.04.2018,publikace udělení patentu
2017-34205,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-171,21.12.2015,podání přihlášky
2014-171,21.12.2015,podání žádosti o úplný průzkum
2014-171,28.06.2017,zveřejnění PV
2014-171,18.04.2018,publikace udělení patentu
2014-171,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-213,21.12.2015,podání přihlášky
2014-213,21.12.2015,podání žádosti o úplný průzkum
2014-213,28.06.2017,zveřejnění PV
2014-213,18.04.2018,publikace udělení patentu
2014-213,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-225,21.12.2015,podání přihlášky
2014-225,21.12.2015,podání žádosti o úplný průzkum
2014-225,28.06.2017,zveřejnění PV
2014-225,18.04.2018,publikace udělení patentu
2014-225,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-264,21.12.2015,podání přihlášky
2014-264,21.12.2015,podání žádosti o úplný průzkum
2014-264,28.06.2017,zveřejnění PV
2014-264,18.04.2018,publikace udělení patentu
2014-264,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-387,21.12.2015,podání přihlášky
2014-387,21.12.2015,podání žádosti o úplný průzkum
2014-387,28.06.2017,zveřejnění PV
2014-387,18.04.2018,publikace udělení patentu
2014-387,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-576,21.12.2015,podání přihlášky
2014-576,21.12.2015,podání žádosti o úplný průzkum
2014-576,28.06.2017,zveřejnění PV
2014-576,18.04.2018,publikace udělení patentu
2014-576,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-662,21.12.2015,podání přihlášky
2014-662,21.12.2015,podání žádosti o úplný průzkum
2014-662,28.06.2017,zveřejnění PV
2014-662,18.04.2018,publikace udělení patentu
2014-662,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-710,21.12.2015,podání přihlášky
2014-710,21.12.2015,podání žádosti o úplný průzkum
2014-710,28.06.2017,zveřejnění PV
2014-710,18.04.2018,publikace udělení patentu
2014-710,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-129,21.12.2015,podání přihlášky
2015-129,21.12.2015,podání žádosti o úplný průzkum
2015-129,28.06.2017,zveřejnění PV
2015-129,18.04.2018,publikace udělení patentu
2015-129,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-130,21.12.2015,podání přihlášky
2015-130,21.12.2015,podání žádosti o úplný průzkum
2015-130,28.06.2017,zveřejnění PV
2015-130,18.04.2018,publikace udělení patentu
2015-130,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-657,21.12.2015,podání přihlášky
2015-657,21.12.2015,podání žádosti o úplný průzkum
2015-657,28.06.2017,zveřejnění PV
2015-657,18.04.2018,publikace udělení patentu
2015-657,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-523,21.12.2015,podání přihlášky
2017-523,21.12.2015,podání žádosti o úplný průzkum
2017-523,28.06.2017,zveřejnění PV
2017-523,18.04.2018,publikace udělení patentu
2017-523,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31697,21.12.2015,podání přihlášky
2015-31697,21.12.2015,podání žádosti o úplný průzkum
2015-31697,28.06.2017,zveřejnění PV
2015-31697,18.04.2018,publikace udělení patentu
2015-31697,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-34569,21.12.2015,podání přihlášky
2018-34569,21.12.2015,podání žádosti o úplný průzkum
2018-34569,28.06.2017,zveřejnění PV
2018-34569,18.04.2018,publikace udělení patentu
2018-34569,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-1070,21.12.2015,podání přihlášky
2013-1070,21.12.2015,podání žádosti o úplný průzkum
2013-1070,28.06.2017,zveřejnění PV
2013-1070,18.04.2018,publikace udělení patentu
2013-1070,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-305,21.12.2015,podání přihlášky
2014-305,21.12.2015,podání žádosti o úplný průzkum
2014-305,28.06.2017,zveřejnění PV
2014-305,18.04.2018,publikace udělení patentu
2014-305,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-306,21.12.2015,podání přihlášky
2014-306,21.12.2015,podání žádosti o úplný průzkum
2014-306,28.06.2017,zveřejnění PV
2014-306,18.04.2018,publikace udělení patentu
2014-306,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-307,21.12.2015,podání přihlášky
2014-307,21.12.2015,podání žádosti o úplný průzkum
2014-307,28.06.2017,zveřejnění PV
2014-307,18.04.2018,publikace udělení patentu
2014-307,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-317,21.12.2015,podání přihlášky
2014-317,21.12.2015,podání žádosti o úplný průzkum
2014-317,28.06.2017,zveřejnění PV
2014-317,18.04.2018,publikace udělení patentu
2014-317,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-321,21.12.2015,podání přihlášky
2014-321,21.12.2015,podání žádosti o úplný průzkum
2014-321,28.06.2017,zveřejnění PV
2014-321,18.04.2018,publikace udělení patentu
2014-321,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-45,21.12.2015,podání přihlášky
2014-45,21.12.2015,podání žádosti o úplný průzkum
2014-45,28.06.2017,zveřejnění PV
2014-45,18.04.2018,publikace udělení patentu
2014-45,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-46,21.12.2015,podání přihlášky
2014-46,21.12.2015,podání žádosti o úplný průzkum
2014-46,28.06.2017,zveřejnění PV
2014-46,18.04.2018,publikace udělení patentu
2014-46,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-546,21.12.2015,podání přihlášky
2014-546,21.12.2015,podání žádosti o úplný průzkum
2014-546,28.06.2017,zveřejnění PV
2014-546,18.04.2018,publikace udělení patentu
2014-546,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-56,21.12.2015,podání přihlášky
2014-56,21.12.2015,podání žádosti o úplný průzkum
2014-56,28.06.2017,zveřejnění PV
2014-56,18.04.2018,publikace udělení patentu
2014-56,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-766,21.12.2015,podání přihlášky
2014-766,21.12.2015,podání žádosti o úplný průzkum
2014-766,28.06.2017,zveřejnění PV
2014-766,18.04.2018,publikace udělení patentu
2014-766,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-28228,21.12.2015,podání přihlášky
2013-28228,21.12.2015,podání žádosti o úplný průzkum
2013-28228,28.06.2017,zveřejnění PV
2013-28228,18.04.2018,publikace udělení patentu
2013-28228,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29100,21.12.2015,podání přihlášky
2014-29100,21.12.2015,podání žádosti o úplný průzkum
2014-29100,28.06.2017,zveřejnění PV
2014-29100,18.04.2018,publikace udělení patentu
2014-29100,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29101,21.12.2015,podání přihlášky
2014-29101,21.12.2015,podání žádosti o úplný průzkum
2014-29101,28.06.2017,zveřejnění PV
2014-29101,18.04.2018,publikace udělení patentu
2014-29101,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29201,21.12.2015,podání přihlášky
2014-29201,21.12.2015,podání žádosti o úplný průzkum
2014-29201,28.06.2017,zveřejnění PV
2014-29201,18.04.2018,publikace udělení patentu
2014-29201,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29202,21.12.2015,podání přihlášky
2014-29202,21.12.2015,podání žádosti o úplný průzkum
2014-29202,28.06.2017,zveřejnění PV
2014-29202,18.04.2018,publikace udělení patentu
2014-29202,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29203,21.12.2015,podání přihlášky
2014-29203,21.12.2015,podání žádosti o úplný průzkum
2014-29203,28.06.2017,zveřejnění PV
2014-29203,18.04.2018,publikace udělení patentu
2014-29203,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29359,21.12.2015,podání přihlášky
2014-29359,21.12.2015,podání žádosti o úplný průzkum
2014-29359,28.06.2017,zveřejnění PV
2014-29359,18.04.2018,publikace udělení patentu
2014-29359,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29374,21.12.2015,podání přihlášky
2014-29374,21.12.2015,podání žádosti o úplný průzkum
2014-29374,28.06.2017,zveřejnění PV
2014-29374,18.04.2018,publikace udělení patentu
2014-29374,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29442,21.12.2015,podání přihlášky
2014-29442,21.12.2015,podání žádosti o úplný průzkum
2014-29442,28.06.2017,zveřejnění PV
2014-29442,18.04.2018,publikace udělení patentu
2014-29442,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29655,21.12.2015,podání přihlášky
2014-29655,21.12.2015,podání žádosti o úplný průzkum
2014-29655,28.06.2017,zveřejnění PV
2014-29655,18.04.2018,publikace udělení patentu
2014-29655,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29656,21.12.2015,podání přihlášky
2014-29656,21.12.2015,podání žádosti o úplný průzkum
2014-29656,28.06.2017,zveřejnění PV
2014-29656,18.04.2018,publikace udělení patentu
2014-29656,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29672,21.12.2015,podání přihlášky
2014-29672,21.12.2015,podání žádosti o úplný průzkum
2014-29672,28.06.2017,zveřejnění PV
2014-29672,18.04.2018,publikace udělení patentu
2014-29672,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29682,21.12.2015,podání přihlášky
2014-29682,21.12.2015,podání žádosti o úplný průzkum
2014-29682,28.06.2017,zveřejnění PV
2014-29682,18.04.2018,publikace udělení patentu
2014-29682,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29726,21.12.2015,podání přihlášky
2014-29726,21.12.2015,podání žádosti o úplný průzkum
2014-29726,28.06.2017,zveřejnění PV
2014-29726,18.04.2018,publikace udělení patentu
2014-29726,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29825,21.12.2015,podání přihlášky
2014-29825,21.12.2015,podání žádosti o úplný průzkum
2014-29825,28.06.2017,zveřejnění PV
2014-29825,18.04.2018,publikace udělení patentu
2014-29825,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29826,21.12.2015,podání přihlášky
2014-29826,21.12.2015,podání žádosti o úplný průzkum
2014-29826,28.06.2017,zveřejnění PV
2014-29826,18.04.2018,publikace udělení patentu
2014-29826,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-29888,21.12.2015,podání přihlášky
2014-29888,21.12.2015,podání žádosti o úplný průzkum
2014-29888,28.06.2017,zveřejnění PV
2014-29888,18.04.2018,publikace udělení patentu
2014-29888,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30285,21.12.2015,podání přihlášky
2014-30285,21.12.2015,podání žádosti o úplný průzkum
2014-30285,28.06.2017,zveřejnění PV
2014-30285,18.04.2018,publikace udělení patentu
2014-30285,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30332,21.12.2015,podání přihlášky
2014-30332,21.12.2015,podání žádosti o úplný průzkum
2014-30332,28.06.2017,zveřejnění PV
2014-30332,18.04.2018,publikace udělení patentu
2014-30332,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30340,21.12.2015,podání přihlášky
2014-30340,21.12.2015,podání žádosti o úplný průzkum
2014-30340,28.06.2017,zveřejnění PV
2014-30340,18.04.2018,publikace udělení patentu
2014-30340,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30378,21.12.2015,podání přihlášky
2014-30378,21.12.2015,podání žádosti o úplný průzkum
2014-30378,28.06.2017,zveřejnění PV
2014-30378,18.04.2018,publikace udělení patentu
2014-30378,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-30435,21.12.2015,podání přihlášky
2014-30435,21.12.2015,podání žádosti o úplný průzkum
2014-30435,28.06.2017,zveřejnění PV
2014-30435,18.04.2018,publikace udělení patentu
2014-30435,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-30767,21.12.2015,podání přihlášky
2015-30767,21.12.2015,podání žádosti o úplný průzkum
2015-30767,28.06.2017,zveřejnění PV
2015-30767,18.04.2018,publikace udělení patentu
2015-30767,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-31004,21.12.2015,podání přihlášky
2015-31004,21.12.2015,podání žádosti o úplný průzkum
2015-31004,28.06.2017,zveřejnění PV
2015-31004,18.04.2018,publikace udělení patentu
2015-31004,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-33875,21.12.2015,podání přihlášky
2017-33875,21.12.2015,podání žádosti o úplný průzkum
2017-33875,28.06.2017,zveřejnění PV
2017-33875,18.04.2018,publikace udělení patentu
2017-33875,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-114,21.12.2015,podání přihlášky
2014-114,21.12.2015,podání žádosti o úplný průzkum
2014-114,28.06.2017,zveřejnění PV
2014-114,18.04.2018,publikace udělení patentu
2014-114,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-186,21.12.2015,podání přihlášky
2014-186,21.12.2015,podání žádosti o úplný průzkum
2014-186,28.06.2017,zveřejnění PV
2014-186,18.04.2018,publikace udělení patentu
2014-186,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-257,21.12.2015,podání přihlášky
2014-257,21.12.2015,podání žádosti o úplný průzkum
2014-257,28.06.2017,zveřejnění PV
2014-257,18.04.2018,publikace udělení patentu
2014-257,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-447,21.12.2015,podání přihlášky
2014-447,21.12.2015,podání žádosti o úplný průzkum
2014-447,28.06.2017,zveřejnění PV
2014-447,18.04.2018,publikace udělení patentu
2014-447,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-633,21.12.2015,podání přihlášky
2014-633,21.12.2015,podání žádosti o úplný průzkum
2014-633,28.06.2017,zveřejnění PV
2014-633,18.04.2018,publikace udělení patentu
2014-633,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-803,21.12.2015,podání přihlášky
2014-803,21.12.2015,podání žádosti o úplný průzkum
2014-803,28.06.2017,zveřejnění PV
2014-803,18.04.2018,publikace udělení patentu
2014-803,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-985,21.12.2015,podání přihlášky
2014-985,21.12.2015,podání žádosti o úplný průzkum
2014-985,28.06.2017,zveřejnění PV
2014-985,18.04.2018,publikace udělení patentu
2014-985,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27348,21.12.2015,podání přihlášky
2013-27348,21.12.2015,podání žádosti o úplný průzkum
2013-27348,28.06.2017,zveřejnění PV
2013-27348,18.04.2018,publikace udělení patentu
2013-27348,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27349,21.12.2015,podání přihlášky
2013-27349,21.12.2015,podání žádosti o úplný průzkum
2013-27349,28.06.2017,zveřejnění PV
2013-27349,18.04.2018,publikace udělení patentu
2013-27349,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27538,21.12.2015,podání přihlášky
2013-27538,21.12.2015,podání žádosti o úplný průzkum
2013-27538,28.06.2017,zveřejnění PV
2013-27538,18.04.2018,publikace udělení patentu
2013-27538,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-27932,21.12.2015,podání přihlášky
2013-27932,21.12.2015,podání žádosti o úplný průzkum
2013-27932,28.06.2017,zveřejnění PV
2013-27932,18.04.2018,publikace udělení patentu
2013-27932,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
